,0
568,214.93773080238458
569,169.73315955554912
570,275.4371475286864
571,213.53434123360444
572,229.4869222856642
573,215.407787766679
574,286.8076982630529
575,236.34319468425957
576,275.77040008070514
577,253.61491621773524
578,227.70232773193757
579,239.22663799158335
580,218.75602511548988
581,226.33855691642546
582,246.68313494914156
583,235.86169019429522
584,245.5980236298116
585,245.27125685826798
586,233.10902450625554
587,234.78489403873758
588,232.6528734162505
589,211.00165470173863
590,238.98480223866855
591,225.3887879832935
592,245.56767165462452
593,248.7892339900856
594,230.85694229785375
595,247.59035656016914
596,227.12141486178217
597,222.6651077649288
